Index,cafes name,Overall_Rating,Cuisine,Rate for two,location,Review,Neighborhood,Ambiance,Dietary_Options,Seating_Type,Work_Friendly,Special_Features,Opening_Hours,Alternative_Milk_Options,Food_Menu,Contact Mails,Contact_Number
1,Oliver Brown,3.9,"Cafe, Coffee, Shake, Juices, Beverages, Waffle, Desserts, Ice Cream",500,ahmedabad,"Been to this place 3-4 times. Prakash is always very sweet and accommodating. Plus always ask Vaibhav to make your shakes, they are perfect!!",Riverside,Modern,Gluten-free options,Outdoor,Yes,Open Mic Nights,9 AM - 9 PM,Soy,Vegan & Organic Food,contact@oliverbrown.com,9.18E+11
2,Oliver Brown,3.9,"Cafe, Coffee, Shake, Juices, Beverages, Waffle, Desserts, Ice Cream",500,ahmedabad,"I recently visited Oliver Brown on a weekend for a cup of iced coffee, and I was thoroughly impressed. The ambience was inviting, the seating comfortable, and the service top-notch. I had the pleasure of trying their iced coffee and dark hot chocolate, both of which were absolutely delicious. It's an excellent place overall, and I'm already looking forward to my next visit",Suburb,Modern,Keto-friendly,Outdoor,Yes,Live Music,8 AM - 11 PM,Oat,Only Beverages,contact@oliverbrown.com,9.16E+11
3,Crush Coffee,3,"Cafe, Shake, Beverages, Desserts",600,ahmedabad,Very watery ans thin shake,Riverside,Rustic,Gluten-free options,Both,Yes,None,8 AM - 11 PM,None,"Pastries, Sandwiches, Salads",contact@crushcoffee.com,9.17E+11
4,The Mohalla,3.8,Cafe,550,ahmedabad,it was not cheese burst pizza.. only cheeze was on the top.. not happy with the pizza sent made today,Downtown,Lively,Keto-friendly,Indoor,Yes,Pet-friendly,8 AM - 11 PM,Oat,Full Breakfast & Lunch,contact@themohalla.com,9.17E+11
5,The Mohalla,3.8,Cafe,550,ahmedabad,"Yammi.,....test burger is best I love 💗 this BergerAnd fry is also missing 😂Love ❤️ you ........",Old Town,Quiet,Keto-friendly,Both,Yes,Live Music,8 AM - 11 PM,None,Only Beverages,contact@themohalla.com,9.19E+11
6,The Shaka Cafe,4.3,"North Indian, Pizza, Asian, Chinese, Cafe, Desserts, Beverages","1,200",ahmedabad,"food was not spicy , which I was told to restorant on call and instructions. ",Old Town,Cozy,Gluten-free options,Both,Yes,None,9 AM - 9 PM,None,Only Beverages,contact@theshakacafe.com,9.17E+11
7,The Shaka Cafe,4.3,"North Indian, Pizza, Asian, Chinese, Cafe, Desserts, Beverages","1,200",ahmedabad,Punjabi Thali is great. The taste was good and paratha was the star. The reason simple being provided instead of maida made Naan. So overall mindful serving to customer and liked it,Suburb,Modern,Vegan-friendly,Indoor,Yes,Board Games,7 AM - 10 PM,Coconut,Only Beverages,contact@theshakacafe.com,9.17E+11
8,Hobnob Bistro,3.7,"North Indian, Cafe, Italian, Chinese, Desserts, Shake, Beverages","1,000",ahmedabad,The owner didn't let us sit in the AC though it was not at all reserved. We already had booked our table priorly then also he didn't give us the AC table to sit. He said that you should call us and book the AC table but no one ever picks the call at all. ,Riverside,Rustic,Keto-friendly,Indoor,Yes,None,6 AM - 8 PM,None,"Pastries, Sandwiches, Salads",contact@hobnobbistro.com,9.19E+11
9,Mleko,4.8,"Cafe, Coffee, Bakery, Fast Food, Continental, Desserts, Beverages",800,ahmedabad,Both coffees were spilled and the box of pasta was opened up with coffee in the pastaWe need the money back since the items were completely inedible.i wish i had negative stars,Riverside,Cozy,Vegan-friendly,Both,No,Live Music,7 AM - 10 PM,Coconut,Vegan & Organic Food,contact@mleko.com,9.20E+11
10,Kaffee - Mast Hai,4.1,"Cafe, Pasta, Burger, Sandwich, Pizza, Wraps, Desserts, Beverages","1,200",ahmedabad,washroom was not available. had to use mall's security guard's washroom,Suburb,Quiet,Gluten-free options,Both,No,Open Mic Nights,6 AM - 8 PM,Almond,Only Beverages,contact@kaffee-masthai.com,9.18E+11
